1	мне	я	PRON	_	Case=Dat|Number=Sing|Person=1	_	_	_	@dpb1961m-word#@dpb1961m#1.14#1.467
2	непонятно	непонятный	ADJ	_	Degree=Pos|Gender=Neut|Number=Sing|Variant=Short	_	_	_	@dpb1961m-word#@dpb1961m#1.467#1.794
3	/	/	PUNCT	_	_	_	_	_	@dpb1961m-word#@dpb1961m#1.794#2.121
4	почему	почему	ADV	_	Degree=Pos	_	_	_	@dpb1961m-word#@dpb1961m#2.121#2.448
5	нельзя	нельзя	ADV	_	Degree=Pos	_	_	_	@dpb1961m-word#@dpb1961m#2.448#2.775
6	сказать	сказать	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	_	_	_	@dpb1961m-word#@dpb1961m#2.775#3.102
7	полетящий	полетящий	VERB	_	Animacy=Inan|Aspect=Imp|Case=Acc|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act	_	_	_	@dpb1961m-word#@dpb1961m#3.102#3.429
8	шар	шар	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@dpb1961m-word#@dpb1961m#3.429#3.756
9	или	или	CCONJ	_	_	_	_	_	@dpb1961m-word#@dpb1961m#3.756#4.083
10	войдущий	войдущий	VERB	_	Aspect=Imp|Case=Nom|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act	_	_	_	@dpb1961m-word#@dpb1961m#4.083#4.41
11	человек	человек	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@dpb1961m-word#@dpb1961m#4.41#4.737
12	?	?	PUNCT	_	_	_	_	_	@dpb1961m-word#@dpb1961m#4.737#5.07
13	но	но	CCONJ	_	_	_	_	_	@dpb1961m-word#@dpb1961m#9.0#9.333
14	это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@dpb1961m-word#@dpb1961m#9.333#9.666
15	ненормативно	ненормативный	ADJ	_	Degree=Pos|Gender=Neut|Number=Sing|Variant=Short	_	_	_	@dpb1961m-word#@dpb1961m#9.666#10.0
16	ну	ну	PART	_	_	_	_	_	@dpb1961m-word#@dpb1961m#16.39#16.66
17	понятно	понятный	ADJ	_	Degree=Pos|Gender=Neut|Number=Sing|Variant=Short	_	_	_	@dpb1961m-word#@dpb1961m#16.66#16.93
18	/	/	PUNCT	_	_	_	_	_	@dpb1961m-word#@dpb1961m#16.93#17.2
19	да	да	INTJ	_	_	_	_	_	@dpb1961m-word#@dpb1961m#17.2#17.47
20	ну	ну	PART	_	_	_	_	_	@dpb1961m-word#@dpb1961m#28.01#28.342
21	смотрите	смотреть	VERB	_	Aspect=Imp|Mood=Imp|Number=Plur|Person=2|VerbForm=Fin|Voice=Act	_	_	_	@dpb1961m-word#@dpb1961m#28.342#28.674
22	/	/	PUNCT	_	_	_	_	_	@dpb1961m-word#@dpb1961m#28.674#29.006
23	вот	вот	PART	_	_	_	_	_	@dpb1961m-word#@dpb1961m#29.006#29.338
24	такая	такой	DET	_	Case=Nom|Gender=Fem|Number=Sing	_	_	_	@dpb1961m-word#@dpb1961m#29.338#29.67
25	либерализация	либерализация	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	@dpb1961m-word#@dpb1961m#29.67#30.002
26	/	/	PUNCT	_	_	_	_	_	@dpb1961m-word#@dpb1961m#30.002#30.334
27	опять	опять	ADV	_	Degree=Pos	_	_	_	@dpb1961m-word#@dpb1961m#30.334#30.666
28	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@dpb1961m-word#@dpb1961m#30.666#30.998
29	сгущу	сгущить	VERB	_	Aspect=Perf|Mood=Ind|Number=Sing|Person=1|Tense=Fut|VerbForm=Fin|Voice=Act	_	_	_	@dpb1961m-word#@dpb1961m#30.998#31.33
30	краски	краска	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Plur	_	_	_	@dpb1961m-word#@dpb1961m#31.33#31.67
31	не	не	PART	_	_	_	_	_	@dpb1961m-word#@dpb1961m#32.47#32.742
32	то	то	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@dpb1961m-word#@dpb1961m#32.742#33.014
33	что	что	PRON	_	Case=Nom	_	_	_	@dpb1961m-word#@dpb1961m#33.014#33.286
34	бы	бы	PART	_	_	_	_	_	@dpb1961m-word#@dpb1961m#33.286#33.558
35	она	она	PRON	_	Case=Nom|Gender=Fem|Number=Sing|Person=3	_	_	_	@dpb1961m-word#@dpb1961m#33.558#33.83
36	опасна	опасный	ADJ	_	Degree=Pos|Gender=Fem|Number=Sing|Variant=Short	_	_	_	@dpb1961m-word#@dpb1961m#33.83#34.102
37	/	/	PUNCT	_	_	_	_	_	@dpb1961m-word#@dpb1961m#34.102#34.374
38	но	но	CCONJ	_	_	_	_	_	@dpb1961m-word#@dpb1961m#34.374#34.646
39	она	она	PRON	_	Case=Nom|Gender=Fem|Number=Sing|Person=3	_	_	_	@dpb1961m-word#@dpb1961m#34.646#34.924
40	не	не	PART	_	_	_	_	_	@dpb1961m-word#@dpb1961m#34.924#35.267
41	то	то	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@dpb1961m-word#@dpb1961m#35.267#35.61
42	что	что	PRON	_	Case=Nom	_	_	_	@dpb1961m-word#@dpb1961m#35.61#35.953
43	бы	бы	AUX	_	_	_	_	_	@dpb1961m-word#@dpb1961m#35.953#36.296
44	там	там	ADV	_	Degree=Pos	_	_	_	@dpb1961m-word#@dpb1961m#36.296#36.639
45	ммм	мм	INTJ	_	_	_	_	_	@dpb1961m-word#@dpb1961m#36.639#36.982
46	она	она	PRON	_	Case=Nom|Gender=Fem|Number=Sing|Person=3	_	_	_	@dpb1961m-word#@dpb1961m#36.982#37.325
47	грозит	грозить	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@dpb1961m-word#@dpb1961m#37.325#37.668
48	эээ	эээ	INTJ	_	_	_	_	_	@dpb1961m-word#@dpb1961m#37.668#38.011
49	ммм	мм	INTJ	_	_	_	_	_	@dpb1961m-word#@dpb1961m#38.011#38.354
50	ситуацией	ситуация	NOUN	_	Animacy=Inan|Case=Ins|Gender=Fem|Number=Sing	_	_	_	@dpb1961m-word#@dpb1961m#38.354#38.697
51	когда	когда	SCONJ	_	_	_	_	_	@dpb1961m-word#@dpb1961m#38.697#39.04
